x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145
36.409355629467605,31.327803698225104,21.147122993620602,4.248351140685879,0.0,0.0,0.0,0.0,15.4340903876585,44.175418986473396,23.9359116627883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.484601936799839,24.138865358956,43.639657094669296,69.6835799054204,67.4105811926429,51.6800807759914,43.3012387574057,28.8292548355628,31.2011017744938,29.3163292990443,13.8079155585691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10822006311513,19.2688850330338,30.525314731737105
32.795769167163,13.182248534224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2933971547643,135.569831266601,152.361801061406,149.826123357486,116.61253502521299,118.703276665,75.193117234938,80.6600216746244,97.8196583549655,110.71050231499599,126.05164823703501,129.593730492021,102.798777061595,84.71100726716479,79.99805679439359,57.7477528782846,46.519092011150796,23.3936791167886,0.268266222426434,0.0,0.0,0.0,0.0,21.952691313832602,46.448325254846,42.178807983530795,44.029897392228406,36.977759887607895,47.5575122145733,36.1465145343118,29.755444889783398,,,,,,,,,,
48.7815298795638,43.533266574257205,37.3564118004991,30.667019615413103,27.866262109874,25.23387049962,17.6283901514975,3.51212524422825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1878402761596,27.188835257712,71.8041527674873,103.43489944363199,108.991665104121,148.001444477061,131.608224241543,93.1370920508441,60.417045474831,47.8232629416954,46.0322467181795,64.0865131489933,23.3436425219258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9195590407065,43.5981801231717,63.92996702979279,95.2624672732111,124.922164369795,97.99604432030941,73.9441954885546,35.560619461908395,26.706080836338398,12.777667715113099,7.07357921687814,2.19154586104478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64651807530736,15.1951981136058,26.6943197024474,27.3284341431435,23.397925849644498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0630247821863,38.670446784530895,1.54088040410116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3988240238013,40.3774319639422,63.5083550520507,86.6392781401592,89.37431382685841,27.5578020721452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9600427450071,79.3604097775895,111.803540869461,142.019299707929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.968498537810895,71.1172791789325,87.47698817929171,81.0230650143528,88.60306962716558,88.4996291750317,56.0308487631191,58.52374692978871,48.0651665888649,31.727452958382603,20.3084821329789,6.81133966196751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11713263643641,20.248387341264998,34.046172302554005,38.1678431885358,67.30376699420471,95.9355365193234,103.88815253783702,62.308940294539795,87.5431386930028,68.188628298185,54.14509793248939,36.5712371510635,14.2294923604274,4.3875417585351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.955806337885179,24.9627162232259,32.4551931618984,17.4023271917406,0.0,0.0,0.0,0.0,0.0,5.8719661981624105,20.1312464170315,29.1398578484491,40.764098384042,59.3254423848096,56.8202947394742,65.1230028236215,61.6573019844831,78.0335622628461,104.30161536851601,96.3725130680381,97.8232233480717,93.14546468829799,66.5583288257474,50.3011926060581,47.66448353797811,72.0399181511989,67.8547006265001,57.8111946259811,66.30564832601439,70.90822054688729,82.124404266173,87.87288435496409,75.7112550811879,,,,,,,,,,,,,,,,
41.9121027437139,36.376397407565,28.594606755443696,23.3519402026185,17.693719326419497,6.58062458135134,0.0,0.0,0.0,0.0,0.0,0.0,11.758274878401899,35.762128203572395,29.0240256623731,12.277284078414901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50771573123686,19.5948565098623,25.6334668554885,10.975530448876901,1.7415333232493502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3190507183984,32.7871449504727,23.3510473616613,21.0877498531719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.4255669442458,4.0069687178472995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.098211633292301,34.8343707946274,39.0916490893814,41.7720658647684,44.452482640155495,47.1328994155425,62.675259076924,67.6152411458621,67.8558718649662,57.7552779854836,52.354632594683196,45.2503180857728,34.902336619767496,34.4336523589225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9419121324867,45.7010317354599,51.087561025899,25.3587920815724,19.716435421105,18.115426676689,20.7232532800158,23.3310798833425,25.938906486669303,24.3466021241831,11.467186865026697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.156063895619102,71.3359952762314,90.9763306310862,66.5747506536795,63.7037789650824,57.1224708731589,56.5286713070767,26.380218015110103,27.6914126404989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.1395551780634,4.868620208179871,0.0,0.0,10.035553665473401,25.533294948491303,28.909414473470697,31.7988464486491,33.1662343299835,32.491574540318105,31.8169147506528,31.142254960987398,20.7048799533122,2.41434946612589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215981448213497,10.8204233900014,22.8214109172258,32.832530631648,27.542758862754997,34.7903559185283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.2872733178089,30.037716937610803,25.989380014429397,5.015829579093809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.060302957290098,34.079170267507,55.8314725439156,65.14538969174771,58.055548669996604,57.1511527633877,44.682155802901896,31.332844905700398,30.2214364246731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
