x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127
42.637803216765796,16.406421325913698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6740322020241,43.957520675860394,90.7193221093469,129.77037412521202,94.0872244159095,97.00028696586679,69.8726028335719,58.36482681742329,57.0226678877256,56.89024432757,41.208101083245396,44.3489287477874,31.988995948888103,35.3420247677873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.8657239487021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96702616625025,18.9977918663841,9.63691948001975,2.65870379592878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0459653348775,34.2149050698083,64.67266990514271,90.1196076518813,95.2281590850991,86.26029609340121,82.3474221005378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.79934405494801,39.9540914111184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.693202908509,59.6096711238885,91.8430836495446,113.495154371876,106.99907198104601,107.53887588254601,100.707473008428,81.03198945515459,84.24216748261841,72.5089255823915,42.4190790516391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.593361821929303,9.034053487439751,0.0,0.0,0.0,22.299488159814,39.7213478692775,13.4749154436832,0.0,0.0,23.7979541982728,46.58135145254229,16.8539544461273,0.0,0.0,0.0,0.0,0.0,17.2280133397614,48.6373540952765,25.6544517953207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270599557939601,22.727955595714196,30.350797153556105,7.9094613908881,0.0,0.0,19.498291445959197,35.4370183049223,39.7062357603933,42.3036184628494,35.282310895081295,40.7829852962618,35.336924542726,21.0852793546028,30.6221256369727,36.857302665982,12.3763471405779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0911253619782,28.1510356889152,36.705343765390204,31.3335025428445,25.9616613202987,35.804426782092705,36.4074668372656,37.0105068924385,37.6135469476114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5611761629487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.026650166534,36.514987897965604,36.4244922978706,36.3339966977757,23.9132716737682,7.51185712374324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.396626304377302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.8668185726853,47.271782721444396,42.650597567978394,38.0294124145124,16.3203568853475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9883202814065,32.7993891241389,13.063314378769698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1960396660872,22.2237539527325,33.5608651250057,31.695121313148604,30.0119281709345,14.4410265398769,0.0,0.0,0.0,0.0,0.0,21.0822463994874,36.0198199506651,33.720118443726896,32.700780634372,32.5258111056779,32.3508415769839,32.1758720482899,32.4192860612855,33.3080940167788,34.196901972272,35.0857099277653,31.9017988991598,10.6019845448927,0.0,0.0,0.0,0.0,0.0,0.0,15.2110119191645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3749795603726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5628268189491,70.6532866989986,113.907805713073,144.008307809402,107.432134958447,130.047706139881,104.250953014142,131.29121156278998,103.66591145015998,81.6572416812236,42.9441375219649,30.348612694022897,16.7138588987876,2.90132543593718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.685435047627,45.8492195140316,67.2612000968724,34.5831711249825,1.9051421530925399,0.0,0.0,15.472328712118099,53.044798188115394,57.6357309348598,49.9629180129831,42.2901050911064,,,,,,,,,,,,,,,,
23.717556954962397,46.5334044065151,35.1062523010196,29.3334233311421,30.955117691601302,35.7680688438596,41.2082895999266,25.3420470028051,2.9787952961618704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.749823528083551,24.806316436209602,52.0943734855832,86.98200508259079,82.4407899679036,68.5020393220214,47.697767911156205,39.5915171030737,30.709050224364,21.2021929632445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.030591859433603,31.194194621965604,24.921164157328402,5.906813002503519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36610016376522,8.85047105445787,17.3348419451505,24.222010920424104,26.9211393816177,22.4611666161936,20.035791075419603,25.795480442519196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2805819162765,11.659175783717101,3.9977393224392497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2935393199954,42.751774144516396,58.1382488947264,61.341976915267296,43.990689892246294,36.471324522999794,48.141875628525895,52.353687556031296,41.615047877687296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
